problem,language,rank_test_score,PCA_componentes,ngram_range,sublinear_tf,mean_test_score,std_test_score,mean_train_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,mean_score_time,mean_fit_time,std_fit_time,std_score_time,std_train_score
1,inglesa,5,0.9,"(2, 4)",True,0.61887753,0.09639331,1.0,0.6352381,1.0,0.60833335,1.0,0.68333334,1.0,0.41166666,1.0,0.75,1.0,0.5638299942016601,2.3502116203308105,0.2668454212174273,0.19313130512839508,0.0
1,inglesa,10,0.9,"(2, 4)",False,0.5595578,0.104925774,0.9910964,0.63166666,0.989899,0.44761905,1.0,0.68333334,0.98327506,0.425,1.0,0.65,0.9823077,0.5590920448303223,2.276987171173096,0.13239604307861572,0.20840604298130883,0.007725241046539274
1,inglesa,1,0.9,"(2, 5)",True,0.63673466,0.093522705,1.0,0.65190476,1.0,0.6433333,1.0,0.69166666,1.0,0.425,1.0,0.75,1.0,0.7379068374633789,3.2554986000061037,0.41449861093961643,0.2758078302323552,0.0
1,inglesa,9,0.9,"(2, 5)",False,0.56595236,0.111721225,1.0,0.6116667,1.0,0.46333334,1.0,0.68666667,1.0,0.40833333,1.0,0.71666664,1.0,0.718874168395996,3.085753870010376,0.2214556184532658,0.28499259802126486,0.0
1,inglesa,8,0.9,"(3, 5)",True,0.5822109,0.094636515,1.0,0.65190476,1.0,0.515,1.0,0.51666665,1.0,0.475,1.0,0.75,1.0,0.5569576740264892,2.5637991428375244,0.4402926326419977,0.18433851014459607,0.0
1,inglesa,12,0.9,"(3, 5)",False,0.55285716,0.087021776,1.0,0.6,1.0,0.45,1.0,0.63666666,1.0,0.46666667,1.0,0.6666667,1.0,0.6423242092132568,2.7380945682525635,0.36190296942677025,0.19112990553062656,0.0
1,inglesa,2,0.999,"(2, 3)",True,0.6343197,0.09792994,1.0,0.61261904,1.0,0.6766667,1.0,0.69166666,1.0,0.42,1.0,0.75,1.0,0.39093785285949706,1.708957815170288,0.17008089339121282,0.1232147839810484,0.0
1,inglesa,16,0.999,"(2, 3)",False,0.5173696,0.06678891,0.9899001,0.56166667,1.0,0.449127,1.0,0.51666665,0.98376626,0.45,0.9916084,0.6333333,0.97412586,0.38660373687744143,1.723500633239746,0.13361050672507652,0.14996239848749726,0.00993362710333925
1,inglesa,3,0.999,"(2, 4)",True,0.6303061,0.10678024,1.0,0.6252381,1.0,0.6333333,1.0,0.65833336,1.0,0.42,1.0,0.81666666,1.0,0.591139841079712,2.3710957527160645,0.20562696166744993,0.22383153797701752,0.0
1,inglesa,13,0.999,"(2, 4)",False,0.5477778,0.095313,1.0,0.5466667,1.0,0.42722222,1.0,0.6533333,1.0,0.53333336,1.0,0.7,1.0,0.5657443523406982,2.387829828262329,0.23847802803567436,0.22450978493961915,0.0
