problem,language,rank_test_score,PCA_componentes,ngram_range,sublinear_tf,norm,mean_test_score,std_test_score,mean_train_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,mean_score_time,mean_fit_time,std_fit_time,std_score_time,std_train_score
1,inglesa,69,0.25,"(2, 4)",True,l2,0.45220354,0.019473536,1.0,0.44588235,1.0,0.48166665,1.0,0.43222222,1.0,1.1829680601755779,3.48635466893514,0.37414299737745266,0.2415623327120112,0.0
1,inglesa,77,0.25,"(2, 4)",False,l2,0.34444368,0.016244862,1.0,0.3291228,1.0,0.36833334,1.0,0.34353536,1.0,1.2302970091501872,3.571466048558553,0.4872894937722731,0.23493738674327505,0.0
1,inglesa,63,0.25,"(2, 5)",True,l1,0.52518106,0.099928536,1.0,0.4920238,1.0,0.6766667,1.0,0.42343137,1.0,2.047253370285034,7.892662684122722,1.6768857326930295,0.34294570630419574,0.0
1,inglesa,67,0.25,"(2, 5)",False,l1,0.4733391,0.075525075,1.0,0.40837663,1.0,0.58871794,1.0,0.45540404,1.0,2.108498732248942,10.259877602259317,2.115150769960683,0.19782248323264603,0.0
1,inglesa,70,0.25,"(2, 5)",True,l2,0.43335158,0.043030385,1.0,0.38366452,1.0,0.47047618,1.0,0.47075757,1.0,1.867759068806966,9.350982586542765,1.2640091634169641,0.498696556786954,0.0
1,inglesa,83,0.25,"(2, 5)",False,l2,0.24482338,0.017757727,1.0,0.26468253,1.0,0.22408026,1.0,0.23577778,1.0,1.8632593154907227,7.59387469291687,1.1916437477225457,0.23592129096972445,0.0
1,inglesa,60,0.25,"(3, 5)",True,l1,0.5739286,0.09480023,1.0,0.5067857,1.0,0.72333336,1.0,0.5252381,1.0,1.4324586391448975,6.276788393656413,1.0968964458136903,0.310813291421132,0.0
1,inglesa,71,0.25,"(3, 5)",False,l1,0.43222904,0.056836095,1.0,0.39800864,1.0,0.5220513,1.0,0.39373738,1.0,1.5109200477600098,6.5256913503011065,0.6362006764185588,0.20268593793909204,0.0
1,inglesa,74,0.25,"(3, 5)",True,l2,0.39776227,0.033044115,1.0,0.37,1.0,0.3885965,1.0,0.4485714,1.0,1.599419355392456,7.020124991734822,1.424073456868732,0.2868973694557304,0.0
1,inglesa,82,0.25,"(3, 5)",False,l2,0.2454652,0.03920542,1.0,0.28900182,1.0,0.19859649,1.0,0.22702898,1.0,1.4936293760935466,7.421494722366333,0.6905664924349287,0.20238717031917403,0.0
1,inglesa,43,0.5,"(2, 3)",True,l1,0.70981294,0.051129907,1.0,0.6938492,1.0,0.6566667,1.0,0.78690475,1.0,0.7481286525726318,1.8934006690979004,0.19775559603685522,0.22551992686003683,0.0
