problem,language,rank_test_score,PCA_componentes,ngram_range,sublinear_tf,norm,mean_test_score,std_test_score,mean_train_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,mean_score_time,mean_fit_time,std_fit_time,std_score_time,std_train_score
1,inglesa,80,0.25,"(2, 3)",True,l2,0.111695014,0.028426154,0.14108047,0.14345238,0.19332577,0.095396824,0.24183622,0.125,0.10072358,0.058333334,0.088761955,0.12083333,0.08075479,0.34311518669128416,1.4644313335418702,0.16315191984462285,0.11603339664079054,0.06463185936391433
1,inglesa,78,0.25,"(2, 3)",False,l2,0.18216553,0.025744973,0.30703112,0.22107142,0.41896105,0.1731746,0.40794945,0.15833333,0.27391705,0.175,0.28916985,0.15333334,0.14515825,0.34030680656433104,1.454730749130249,0.1266711811703108,0.1124891413433786,0.10033066534750397
1,inglesa,73,0.25,"(2, 4)",True,l1,0.2046712,0.095209464,0.26985946,0.26722223,0.43997574,0.124126986,0.311785,0.15,0.19043672,0.11666667,0.19404647,0.38333333,0.21305332,0.49797792434692384,2.0801350116729735,0.1571474769969808,0.1782237511901741,0.09589559162148713
1,inglesa,67,0.25,"(2, 4)",False,l1,0.25776643,0.061025195,0.39283887,0.34777778,0.4749334,0.19940476,0.53800505,0.25833333,0.30796906,0.24833333,0.3555595,0.20333333,0.28772733,0.5120535850524902,2.064958429336548,0.14491494023162144,0.19336907191860006,0.0974205366177082
1,inglesa,74,0.25,"(2, 4)",True,l2,0.20168935,0.048954144,0.2601278,0.25650793,0.36492944,0.18357143,0.38238677,0.17,0.14011414,0.11666667,0.22901753,0.245,0.18419115,0.5093431949615479,2.1614873886108397,0.25739090023128386,0.18766926348819507,0.09702385645782138
1,inglesa,71,0.25,"(2, 4)",False,l2,0.21332406,0.051103372,0.35605785,0.28416666,0.45257926,0.21080087,0.4421384,0.2,0.28891423,0.13666667,0.31496957,0.16666667,0.28168786,0.5024740695953369,2.072395658493042,0.1676127416634238,0.1761184739821336,0.07543693466353525
1,inglesa,66,0.25,"(2, 5)",True,l1,0.2706576,0.06819105,0.35920915,0.2731746,0.47108686,0.28079364,0.47690699,0.26666668,0.30084866,0.13333334,0.21123587,0.38666666,0.33596736,0.663885498046875,2.7192731380462645,0.2199442937346333,0.2364606072772189,0.10218768925297193
1,inglesa,68,0.25,"(2, 5)",False,l1,0.25740364,0.036386624,0.4781759,0.30369046,0.5395618,0.22472222,0.57240176,0.25833333,0.4129737,0.20833333,0.48378897,0.27833334,0.38215324,0.658299446105957,2.741230773925781,0.23887323309575398,0.22959743648450673,0.07231863710596527
1,inglesa,76,0.25,"(2, 5)",True,l2,0.19274376,0.066932976,0.26022756,0.24984127,0.37447488,0.20642857,0.3880303,0.12,0.17560384,0.06666667,0.18186869,0.25,0.18116009,0.6608148097991944,2.752234601974487,0.23761592861598116,0.23531465622116182,0.09893325575151829
1,inglesa,70,0.25,"(2, 5)",False,l2,0.21387754,0.05919329,0.46724513,0.28051588,0.5663233,0.16638888,0.55455625,0.19166666,0.37000045,0.13333334,0.4577567,0.27833334,0.38758898,0.6703534603118897,2.7543553829193117,0.2564981053072047,0.23855600599583068,0.08164726238506526
1,inglesa,65,0.25,"(3, 5)",True,l1,0.28868482,0.060505167,0.39025894,0.30650795,0.5029798,0.27722222,0.45495948,0.26666668,0.32031357,0.18333334,0.32916838,0.40333334,0.3438735,0.5143482208251953,2.130138635635376,0.20022132921696809,0.17228614603755135,0.07438840370659748
1,inglesa,69,0.25,"(3, 5)",False,l1,0.25724488,0.06601928,0.4554072,0.3295238,0.48352924,0.1875,0.6055872,0.24166666,0.3579479,0.19166666,0.46924183,0.33333334,0.3607299,0.5115885734558105,2.1261328220367433,0.18251670629974415,0.17872783491777144,0.09164974731212361
1,inglesa,77,0.25,"(3, 5)",True,l2,0.18870749,0.069613546,0.28228226,0.2509524,0.48204365,0.1995238,0.37635976,0.10333333,0.18405484,0.06666667,0.19765513,0.25,0.17129794,0.5204515933990479,2.1083223819732666,0.17120817304405134,0.18794402811577696,0.12480631882744879
1,inglesa,72,0.25,"(3, 5)",False,l2,0.21285714,0.07272046,0.4527376,0.29583332,0.48256686,0.1325,0.5591414,0.225,0.36544263,0.13333334,0.47499987,0.275,0.38153723,0.4976853847503662,2.1683109760284425,0.23150490472167526,0.1776354057485083,0.07127000232634438
1,inglesa,55,0.5,"(2, 3)",True,l1,0.43255103,0.096865825,0.7694541,0.5642857,0.88473696,0.31214285,0.7623893,0.43333334,0.758289,0.39166668,0.76144713,0.45,0.6804082,0.34344935417175293,1.519401979446411,0.1699648840172523,0.12787830153005575,0.06551028261024854
1,inglesa,61,0.5,"(2, 3)",False,l1,0.3914966,0.08349416,0.69288254,0.43,0.73064244,0.31940475,0.6589457,0.43333334,0.7271978,0.275,0.731171,0.53333336,0.6164559,0.3579904556274414,1.4806812286376954,0.1500198479899773,0.12410558523011159,0.04703635335374681
1,inglesa,57,0.5,"(2, 3)",True,l2,0.41996598,0.05046968,0.74059004,0.4602381,0.835091,0.36214286,0.74616605,0.475,0.6586678,0.36166668,0.76940185,0.45833334,0.6936235,0.35352134704589844,1.5160819053649903,0.14180742273534716,0.11846740506389766,0.0611698686738861
1,inglesa,63,0.5,"(2, 3)",False,l2,0.3710204,0.071469,0.70338315,0.39166668,0.73805946,0.3302381,0.672269,0.35833332,0.745809,0.275,0.68477535,0.52,0.6760029,0.3497174263000488,1.5041419982910156,0.1504852603427796,0.12448857685475993,0.03183211438604456
1,inglesa,50,0.5,"(2, 4)",True,l1,0.4957483,0.10728422,0.85333204,0.5642857,0.9084091,0.40833333,0.8745582,0.4,0.8045571,0.425,0.85616714,0.7,0.8229687,0.5081587791442871,2.1248427867889403,0.16632638401897792,0.18033417743722982,0.036859182179970675
1,inglesa,64,0.5,"(2, 4)",False,l1,0.36037415,0.09468897,0.7896997,0.37428573,0.7859849,0.24785714,0.8089466,0.5,0.7888006,0.3,0.8111955,0.47833332,0.75357085,0.5103808403015136,2.1241899967193603,0.15409571339477038,0.17763121754186828,0.02074808243653814
